Name;Category;Action;Block Keywords;Block File Types;Bandwidth Optimizer
Basic Access;Illegal or Questionable;Block;false;;Do not block based on bandwidth
Basic Access;Information Technology;Permit;false;;Do not block based on bandwidth
Basic Access;Instant Messaging;Permit;false;;Do not block based on bandwidth
Basic Access;Internet Auctions;Permit;false;;Do not block based on bandwidth
Basic Access;Internet Communication;Permit;false;;Do not block based on bandwidth
Basic Access;Internet Radio and TV;Quota;false;;Do not block based on bandwidth
Basic Access;Internet Telephony;Quota;false;;Do not block based on bandwidth
Basic Access;Intolerance;Block;false;;Do not block based on bandwidth
Basic Access;Job Search;Block;false;;Do not block based on bandwidth
Basic Access;Keyloggers;Block;false;;Do not block based on bandwidth
Basic Access;Lingerie and Swimsuit;Block;false;;Do not block based on bandwidth
Basic Access;LinkedIn Connections;Permit;false;;Do not block based on bandwidth
Basic Access;LinkedIn Jobs;Permit;false;;Do not block based on bandwidth
Basic Access;LinkedIn Mail;Permit;false;;Do not block based on bandwidth
Basic Access;LinkedIn Updates;Permit;false;;Do not block based on bandwidth
Basic Access;Malicious Embedded iFrame;Block;false;;Do not block based on bandwidth
Basic Access;Malicious Embedded Link;Block;false;;Do not block based on bandwidth
Basic Access;Malicious Web Sites;Block;false;;Do not block based on bandwidth
Basic Access;Marijuana;Block;false;;Do not block based on bandwidth
Basic Access;Media File Download;Block;false;;Do not block based on bandwidth
Basic Access;Message Boards and Forums;Block;false;;Do not block based on bandwidth
Basic Access;Militancy and Extremist;Block;false;;Do not block based on bandwidth
Basic Access;Military;Quota;false;;Do not block based on bandwidth
Basic Access;Miscellaneous;Permit;false;;Do not block based on bandwidth
Basic Access;Mobile Malware;Block;false;;Do not block based on bandwidth
Basic Access;Network Errors;Permit;false;;Do not block based on bandwidth
Basic Access;Newly Registered Websites;Permit;false;;Do not block based on bandwidth
Basic Access;News and Media;Permit;false;;Do not block based on bandwidth
Basic Access;Non-Traditional Religions;Quota;false;;Do not block based on bandwidth
Basic Access;Nudity;Block;false;;Do not block based on bandwidth
Basic Access;Nutrition;Quota;false;;Do not block based on bandwidth
Basic Access;Office - Apps;Permit;false;;Do not block based on bandwidth
Basic Access;Office - Documents;Permit;false;;Do not block based on bandwidth
Basic Access;Office - Drive;Permit;false;;Do not block based on bandwidth
Basic Access;Office - Mail;Permit;false;;Do not block based on bandwidth
Basic Access;Online Brokerage and Trading;Block;false;;Do not block based on bandwidth
Basic Access;Organizational Email;Confirm;false;;Do not block based on bandwidth
Basic Access;Parked Domain;Block;false;;Do not block based on bandwidth
Basic Access;Pay-to-Surf;Block;false;;Do not block based on bandwidth
Basic Access;Peer-to-Peer File Sharing;Block;false;;Do not block based on bandwidth
Basic Access;Personal Network Storage and Backup;Block;false;;Do not block based on bandwidth
Basic Access;Personals and Dating;Quota;false;;Do not block based on bandwidth
Basic Access;Phishing and Other Frauds;Block;false;;Do not block based on bandwidth
